Run log for fold 1
Device: cuda
AMP enabled: True
Staged tuning: True
Validation interval epochs: 1
Final validation: False
Best checkpoint metric: val_dice (max)
Output dir: /data/data/DA25S005/miccai_tbi/MultiTalentV2_finetuning/checkpoints/tbi_multitalentv2/fold_1
Dataset summary: total=552, lesion_positive=322, lesion_empty=230, dmri=229
Train split summary: total=441, lesion_positive=256, lesion_empty=185, dmri=183
Val split summary: total=111, lesion_positive=66, lesion_empty=45, dmri=46
Case sampling: enabled=True, target_positive_fraction=0.65, target_empty_fraction=0.35, positive_weight=nan, empty_weight=1.0, num_samples=441, replacement=True
phase	epoch	stage	train_loss	train_dice	val_loss	val_dice	monitor_metric	monitor_value	lr_head	lr_partial	lr_full
train	129	full	0.243535	0.776051	0.422926	0.615414	val_dice	0.615414	0.00000000	0.00000000	0.00004176
train	130	full	0.243405	0.779727	0.414676	0.622949	val_dice	0.622949	0.00000000	0.00000000	0.00004123
train	131	full	0.235631	0.777663	0.362579	0.664004	val_dice	0.664004	0.00000000	0.00000000	0.00004071
saved	131	full	0.235631	0.777663	0.362579	0.664004
train	132	full	0.252931	0.764465	0.406358	0.635684	val_dice	0.635684	0.00000000	0.00000000	0.00004019
train	133	full	0.237918	0.781057	0.405097	0.625597	val_dice	0.625597	0.00000000	0.00000000	0.00003966
train	134	full	0.234217	0.782887	0.402089	0.632035	val_dice	0.632035	0.00000000	0.00000000	0.00003914
train	135	full	0.252926	0.766549	0.370223	0.654742	val_dice	0.654742	0.00000000	0.00000000	0.00003861
train	136	full	0.243164	0.775921	0.391181	0.630906	val_dice	0.630906	0.00000000	0.00000000	0.00003808
train	137	full	0.250038	0.761976	0.356629	0.656643	val_dice	0.656643	0.00000000	0.00000000	0.00003756
train	138	full	0.232595	0.782203	0.370059	0.669536	val_dice	0.669536	0.00000000	0.00000000	0.00003703
saved	138	full	0.232595	0.782203	0.370059	0.669536
train	139	full	0.244538	0.776273	0.363403	0.653895	val_dice	0.653895	0.00000000	0.00000000	0.00003650
train	140	full	0.236850	0.773738	0.376518	0.642784	val_dice	0.642784	0.00000000	0.00000000	0.00003597
train	141	full	0.232343	0.788210	0.399577	0.629993	val_dice	0.629993	0.00000000	0.00000000	0.00003544
train	142	full	0.237570	0.785894	0.386120	0.649149	val_dice	0.649149	0.00000000	0.00000000	0.00003491
train	143	full	0.230126	0.790620	0.379661	0.655182	val_dice	0.655182	0.00000000	0.00000000	0.00003437
train	144	full	0.232774	0.782305	0.392520	0.637298	val_dice	0.637298	0.00000000	0.00000000	0.00003384
train	145	full	0.205091	0.805821	0.400098	0.648365	val_dice	0.648365	0.00000000	0.00000000	0.00003330
train	146	full	0.229715	0.780798	0.404120	0.624725	val_dice	0.624725	0.00000000	0.00000000	0.00003277
train	147	full	0.242409	0.772729	0.342069	0.662837	val_dice	0.662837	0.00000000	0.00000000	0.00003223
train	148	full	0.221567	0.789725	0.402342	0.650973	val_dice	0.650973	0.00000000	0.00000000	0.00003169
train	149	full	0.225641	0.789910	0.375012	0.658704	val_dice	0.658704	0.00000000	0.00000000	0.00003115
train	150	full	0.228010	0.790046	0.412341	0.640139	val_dice	0.640139	0.00000000	0.00000000	0.00003062
train	151	full	0.225103	0.786882	0.435343	0.604564	val_dice	0.604564	0.00000000	0.00000000	0.00003007
train	152	full	0.231524	0.785869	0.402156	0.630369	val_dice	0.630369	0.00000000	0.00000000	0.00002953
train	153	full	0.227602	0.791415	0.398496	0.631703	val_dice	0.631703	0.00000000	0.00000000	0.00002899
train	154	full	0.229159	0.786820	0.428362	0.590200	val_dice	0.590200	0.00000000	0.00000000	0.00002845
train	155	full	0.233003	0.782053	0.360826	0.644317	val_dice	0.644317	0.00000000	0.00000000	0.00002790
train	156	full	0.202237	0.813085	0.388235	0.647720	val_dice	0.647720	0.00000000	0.00000000	0.00002735
train	157	full	0.225967	0.794292	0.401735	0.638586	val_dice	0.638586	0.00000000	0.00000000	0.00002681
train	158	full	0.231067	0.790166	0.378086	0.654116	val_dice	0.654116	0.00000000	0.00000000	0.00002626
train	159	full	0.212763	0.800043	0.353249	0.667717	val_dice	0.667717	0.00000000	0.00000000	0.00002571
