threshold,min_component_voxels,case_id,dice,precision,recall,gt_voxels,gt_category,pred_voxels,pred_category,tp,fp,fn,missed_positive,empty_false_positive
0.3,10,0414,0.4156904508342208,0.32321280706596744,0.582297364495276,2011,small,3623,small,1171,2452,840,0,0
0.3,20,0414,0.41813961792537047,0.3261838440111421,0.582297364495276,2011,small,3590,small,1171,2419,840,0,0
0.35,10,0414,0.4327463469464219,0.34715960324616774,0.5743411238189955,2011,small,3327,small,1155,2172,856,0,0
0.35,20,0414,0.4339658087544618,0.348731884057971,0.5743411238189955,2011,small,3312,small,1155,2157,856,0,0
0.3,10,0420,0.8450149589587542,0.8232275422251009,0.8679869720529523,19036,large,20071,large,16523,3548,2513,0,0
0.3,20,0420,0.8450149589587542,0.8232275422251009,0.8679869720529523,19036,large,20071,large,16523,3548,2513,0,0
0.35,10,0420,0.8473471920570896,0.8343177189409369,0.8607900819499895,19036,large,19640,large,16386,3254,2650,0,0
0.35,20,0420,0.8474199058019771,0.8351014995409568,0.8601071653708763,19036,large,19606,large,16373,3233,2663,0,0
0.3,10,0450,0.5294117647058824,0.75,0.4090909090909091,44,very_tiny,24,very_tiny,18,6,26,0,0
0.3,20,0450,0.5294117647058824,0.75,0.4090909090909091,44,very_tiny,24,very_tiny,18,6,26,0,0
0.35,10,0450,0.5074626865671642,0.7391304347826086,0.38636363636363635,44,very_tiny,23,very_tiny,17,6,27,0,0
0.35,20,0450,0.5074626865671642,0.7391304347826086,0.38636363636363635,44,very_tiny,23,very_tiny,17,6,27,0,0
0.3,10,0452,0.6774941995359629,0.6666666666666666,0.6886792452830188,212,tiny,219,tiny,146,73,66,0,0
0.3,20,0452,0.6774941995359629,0.6666666666666666,0.6886792452830188,212,tiny,219,tiny,146,73,66,0,0
0.35,10,0452,0.6824644549763034,0.6857142857142857,0.6792452830188679,212,tiny,210,tiny,144,66,68,0,0
0.35,20,0452,0.6824644549763034,0.6857142857142857,0.6792452830188679,212,tiny,210,tiny,144,66,68,0,0
0.3,10,0467,0.8445064384983074,0.8926888912863667,0.8012588766946417,31023,large,27807,large,24823,2984,6157,0,0
0.3,20,0467,0.8445064384983074,0.8926888912863667,0.8012588766946417,31023,large,27807,large,24823,2984,6157,0,0
0.35,10,0467,0.8433388157894737,0.8986417409084271,0.794448030987734,31023,large,27388,large,24612,2776,6368,0,0
0.35,20,0467,0.8433388157894737,0.8986417409084271,0.794448030987734,31023,large,27388,large,24612,2776,6368,0,0
0.3,10,0491,0.0,0.0,0.0,212,tiny,0,empty,0,0,212,1,0
0.3,20,0491,0.0,0.0,0.0,212,tiny,0,empty,0,0,212,1,0
0.35,10,0491,0.0,0.0,0.0,212,tiny,0,empty,0,0,212,1,0
0.35,20,0491,0.0,0.0,0.0,212,tiny,0,empty,0,0,212,1,0
0.3,10,0512,0.7068676716917923,0.6442748091603053,0.7829313543599258,536,tiny,655,tiny,422,233,117,0,0
0.3,20,0512,0.7068676716917923,0.6442748091603053,0.7829313543599258,536,tiny,655,tiny,422,233,117,0,0
0.35,10,0512,0.7103918228279387,0.6566929133858268,0.7736549165120594,536,tiny,635,tiny,417,218,122,0,0
0.35,20,0512,0.7103918228279387,0.6566929133858268,0.7736549165120594,536,tiny,635,tiny,417,218,122,0,0
0.3,10,0537,0.772937905468026,0.7794392523364486,0.7665441176470589,17927,large,17655,large,13761,3894,4191,0,0
0.3,20,0537,0.772937905468026,0.7794392523364486,0.7665441176470589,17927,large,17655,large,13761,3894,4191,0,0
0.35,10,0537,0.7704885343968095,0.7884335101731476,0.7533422459893048,17927,large,17153,large,13524,3629,4428,0,0
0.35,20,0537,0.7704885343968095,0.7884335101731476,0.7533422459893048,17927,large,17153,large,13524,3629,4428,0,0
0.3,10,0546,0.0,0.0,0.0,105,tiny,104,tiny,0,104,105,0,0
0.3,20,0546,0.0,0.0,0.0,105,tiny,104,tiny,0,104,105,0,0
0.35,10,0546,0.0,0.0,0.0,105,tiny,97,tiny,0,97,105,0,0
0.35,20,0546,0.0,0.0,0.0,105,tiny,97,tiny,0,97,105,0,0
0.3,10,0558,0.8020982595506841,0.7613623709454193,0.8474396203697145,56476,large,62861,large,47860,15001,8616,0,0
0.3,20,0558,0.8020982595506841,0.7613623709454193,0.8474396203697145,56476,large,62861,large,47860,15001,8616,0,0
0.35,10,0558,0.8040456615603004,0.7689783912207263,0.8424640555280118,56476,large,61873,large,47579,14294,8897,0,0
0.35,20,0558,0.8040456615603004,0.7689783912207263,0.8424640555280118,56476,large,61873,large,47579,14294,8897,0,0
0.3,10,0574,0.6039959016393442,0.5186977562692477,0.7228694052728387,1631,small,2273,small,1179,1094,452,0,0
0.3,20,0574,0.5978904039104708,0.5150709219858156,0.7124463519313304,1631,small,2256,small,1162,1094,469,0,0
0.35,10,0574,0.6072641755944604,0.529143897996357,0.7124463519313304,1631,small,2196,small,1162,1034,469,0,0
0.35,20,0574,0.601416950931514,0.5256880733944954,0.7026364193746168,1631,small,2180,small,1146,1034,485,0,0
0.3,10,0577,0.7691706809009243,0.8432170127738529,0.7070791694093711,16687,large,14013,large,11816,2197,4895,0,0
0.3,20,0577,0.7691706809009243,0.8432170127738529,0.7070791694093711,16687,large,14013,large,11816,2197,4895,0,0
0.35,10,0577,0.7651537624839315,0.8517023774581743,0.6945724373167375,16687,large,13628,large,11607,2021,5104,0,0
